21,40,88668321216,1,2015,junior,9230
22,75,48067695429,0,2022,junior,10315
23,24,43041245987,0,2024,toddler,10634
24,10,62824151147,1,2019,junior,9016
25,24,23864503363,0,2020,junior,10482
26,52,42224998393,2,2016,toddler,11447
27,80,37572516338,0,2024,preschooler,10343
28,28,74658350817,0,2023,junior,10113
29,56,88978235310,0,2021,junior,10195
30,57,35414245083,0,2020,toddler,10224
31,5,28863775986,0,2017,preschooler,10688
32,90,47865332601,2,2018,junior,11200
33,13,30713044772,0,2018,toddler,10332
34,61,46202519522,0,2020,preschooler,10262
35,21,86680129335,0,2021,toddler,10539
36,52,91567209134,2,2015,toddler,11447
37,35,30188970811,0,2024,junior,10138
38,45,10330263004,2,2016,preschooler,11198
39,9,44505639999,1,2019,junior,8834
40,77,70580321635,2,2018,preschooler,11501
41,40,65974690042,1,2022,preschooler,8980
42,1,89737603140,0,2021,preschooler,10514
43,75,15905496223,2,2019,junior,11581
44,94,31107263092,0,2024,preschooler,10000
45,76,76673546661,3,2015,junior,9491
46,50,71519243262,0,2021,preschooler,10025
47,98,27733548169,2,2016,preschooler,11281
48,87,61227005711,0,2018,preschooler,9958
49,45,83848567584,0,2022,junior,10156
50,84,36653801605,0,2020,preschooler,10066
51,22,27835655460,0,2020,junior,10200
52,96,42474203532,0,2022,preschooler,9961
53,19,37133835314,2,2016,junior,11838
54,60,25860541107,0,2017,preschooler,9825
55,92,99394945171,0,2016,toddler,10628
56,61,16548733484,2,2021,preschooler,11533
57,12,93762490312,0,2015,toddler,10588
58,44,21054428068,1,2017,toddler,9106
59,46,53806669810,2,2016,toddler,12194
60,72,91765451614,0,2018,toddler,10591
61,1,48143038350,0,2022,toddler,10992
62,34,32323126711,3,2017,preschooler,9262
63,44,44209282355,0,2017,preschooler,9854
64,61,86586840672,2,2020,junior,11685
65,73,99606378183,2,2015,toddler,11686
66,36,81634946812,2,2016,junior,11461
67,54,46498898549,0,2022,preschooler,10271
68,15,34206073644,2,2019,junior,11820
69,76,92180840930,0,2023,preschooler,9905
70,47,55885184421,0,2024,junior,10179
71,85,11139216209,0,2020,toddler,10719
72,28,56892893494,0,2018,toddler,10321
73,63,49533682322,0,2020,junior,10204
74,40,26781919039,0,2020,junior,10413
75,81,41590385454,0,2023,toddler,10716
76,42,91865895909,0,2021,preschooler,10561
77,84,45790012338,2,2016,toddler,11645
78,52,50349818072,3,2021,preschooler,9049
79,2,85332660829,0,2022,junior,10420
80,50,95120084861,0,2015,preschooler,10025
81,90,74187396179,0,2021,toddler,10196
82,88,66795025574,0,2017,junior,10358
83,22,38316238194,2,2017,toddler,11633
84,12,64896492416,0,2019,junior,10414
85,73,53127861857,2,2024,preschooler,11268
86,69,88618298968,0,2022,toddler,10351
87,20,96715330117,0,2015,toddler,10473
88,9,85652089984,0,2022,preschooler,9838
89,15,89661719158,3,2023,junior,9845
90,14,35195819305,0,2018,toddler,10560
91,94,34169303217,2,2016,junior,11468
92,50,85932904128,2,2019,preschooler,11392
93,84,83400798487,0,2017,preschooler,10066
94,76,26764300743,0,2022,preschooler,9905
95,26,28474912599,0,2018,toddler,10651
96,90,72086162211,0,2018,toddler,10196
97,24,44074456288,1,2016,preschooler,9111
98,74,21398325148,3,2016,preschooler,9589
99,74,14546726818,0,2021,toddler,10698
100,81,40343827914,0,2022,junior,10478
101,48,67772056686,0,2020,preschooler,10125
102,97,34422260965,0,2022,preschooler,10283
103,19,48463396801,0,2017,junior,10477
