1,5,70331204149,1,2018,junior,9686
2,7,72907894058,1,2024,toddler,9340
3,6,66717518437,2,2020,junior,11598
4,6,11671794168,0,2021,toddler,10555
5,5,74505765588,0,2017,toddler,11048
6,6,51097634991,2,2016,junior,11598
7,0,33414451386,2,2021,preschooler,11218
8,5,42093611390,0,2024,toddler,11048
9,9,82484232445,3,2023,toddler,9554
10,8,46018400133,2,2017,toddler,11672
11,8,16270899997,2,2015,preschooler,11299
12,7,49241919330,0,2019,toddler,10523
13,1,35982363348,0,2020,junior,10755
14,1,13666055823,0,2017,preschooler,10514
15,9,40902344823,0,2022,junior,10041
16,6,40617082335,3,2016,toddler,9798
17,9,35088792319,2,2016,preschooler,11157
18,8,12459674111,0,2019,preschooler,9942
19,4,92064489029,0,2022,junior,10415
20,5,43526294737,1,2017,junior,9686
